Paziente,767,741,294,2034,141,293,2042,674,781,333,675,121,1929,1891,54,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
104,11.05709,2.6254582,0.0,5.613304,10.229998,32.18005,11.102711,0.0,2.3054295,1.5707994,2.5382516,12.057564,18.204508,0.0,35.58589,0.7808765024682286,0.8844560695056289,0.5955350215115447,0.6226681671791003
105,8.197731,9.568533,0.11364323,7.924826,7.750169,28.046509,7.850044,3.5269125,3.9347224,2.618488,3.5031986,14.509649,17.01655,3.3858674,29.46647,0.8302199713513897,0.8912743990176357,0.7722035282511894,0.6850841242480766
106,10.68232,7.147708,0.0,7.22938,1.2312142,22.894278,14.273355,5.504622,2.2567258,1.820219,6.2041273,7.6933637,19.026747,9.838617,29.411503,0.5475743927535321,0.7702745082529135,0.1546130814474683,0.1455967447004125
107,10.585621,4.1113334,0.0,2.8352342,6.2997923,22.120096,9.966221,0.9101018,5.5795503,1.9313822,3.5753787,10.648367,16.261127,2.566898,31.632414,0.8370796158825686,0.9062243453644728,0.7289911454779328,0.5984262848883759
108,11.810904,5.112927,0.0,2.0986965,3.5400512,29.627138,11.572461,0.55474114,4.5888224,4.913352,2.6258895,8.927647,19.128582,0.3351617,32.427986,0.7447070373664652,0.8433605056412075,0.6056399997026379,0.6293669832321882
109,15.726404,9.441919,0.0,7.311508,4.3621364,30.904772,12.580663,2.647598,8.789049,1.1508272,4.262784,7.316435,21.625458,9.063258,33.445076,0.8601437913512038,0.901863929146538,0.6802650667387583,0.6965022517975719
110,11.742984,5.8277516,1.3859386,14.95401,5.2391353,25.160099,12.044216,2.457647,4.18015,2.5800784,5.29216,9.564886,20.529474,0.21021366,33.982464,0.7652106592238171,0.8752616902616902,0.6170377655712954,0.5153579439021986
111,9.818295,5.0053744,0.0,5.2395983,7.0718813,24.954397,12.468353,1.2533013,4.5453167,1.8211899,2.9650888,9.842365,18.96602,1.5862944,30.577032,0.7065571180402009,0.7357486637512147,0.5826801935986062,0.4745330654357089
112,11.84253,29.577255,0.0,15.715974,1.8201132,22.079659,5.570099,0.0,6.750816,4.782316,0.48463273,22.821955,9.747453,0.0,20.185637,0.7449284810542575,0.8404844576719577,0.4197691186046947,0.3032903332894685
113,7.0234923,11.263464,0.12386422,8.207068,6.657289,29.847773,7.5042,0.38165876,3.4413548,4.70045,4.0456963,12.925045,16.117216,0.0,33.197598,0.7540995370370371,0.8654802867383514,0.5827399410997509,0.6746067722602385
114,11.946165,3.438268,0.22240524,4.7114415,6.2330813,33.593323,12.018092,1.4050703,1.8828043,1.3695133,2.2836041,10.576781,20.036713,0.0,33.360657,0.7592560664112388,0.8635078053259871,0.4412283487579335,0.4102684102096122
115,14.59564,11.405108,1.0511534,1.5198951,3.188008,20.321285,13.471827,1.9415385,2.7088304,4.0706887,5.514059,13.425288,11.736193,2.0792136,27.83339,0.6891681059011483,0.8013146698628502,0.624457385564722,0.5897382342935606
