Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
62,0.4690646,0.2788233,0.031969815,0.5862261,0.5609976,0.21565348,0.43510735,0.2112639,0.09166032,0.25989857,0.7266659,0.8322863,0.67665344,0.19611576,0.052946925,3.714379105912514,4.186803396891524,0.9401022378722974,40.71155662775966
64,0.4042735,0.5989661,0.3807432,0.7674546,0.28363442,0.16631955,0.87693226,0.39526308,0.22462183,0.12964204,0.6348179,0.42955756,0.5770323,0.22171971,0.09805103,4.128813701973656,3.7865028265230256,0.9322202956951844,71.85878981104007
65,0.0,1.1994597,0.69902325,0.27420208,1.395807,0.19882274,0.7141336,1.2625244,0.26568192,1.4963852,0.0,0.64100736,0.3613262,1.6355144,0.72580147,3.337819793836458,3.2115579768199543,0.9419478344340716,37.34695649646071
68,0.37480545,0.1520547,0.0,0.5690758,0.39787573,0.37491894,0.09241474,0.0853889,0.21204734,0.15284124,0.5168276,0.5883637,0.8491411,0.0023503304,0.0,1.914731613523474,1.4555359717993912,0.9227813697146388,21.60670221430609
69,0.5406585,0.37589726,0.17156255,0.82723856,0.24711502,0.42175138,0.43659437,0.3533305,0.23087037,0.25774452,0.7174631,0.41855198,0.9001654,0.064211965,0.24411355,3.986594458534353,4.145725672660705,0.9510561694592315,64.60498519925105
70,0.0,0.0,0.24156171,2.1421096,2.789723,0.004014313,1.1689477,0.7828413,0.28191173,1.5426075,0.7670399,3.0177717,1.1106364,1.7888936,0.09037331,3.4982642146744234,3.678222931131544,0.9520855549071804,30.67742029810653
71,0.67168117,0.07357475,0.22317243,0.4022834,0.43538684,0.081160545,0.43892026,0.19066143,0.021057725,0.51033485,0.9772849,0.56597733,0.73170936,0.15729707,0.11169253,4.477230933962337,5.174975364871471,0.9686312152097456,48.70236727640415
74,0.0,0.7115133,0.31189418,0.5078598,0.7422738,0.097869694,0.2850207,0.009722352,0.4887877,0.4226773,0.0,0.8100676,0.27365738,0.6545682,0.42295605,2.595449175088611,2.0753087574055025,0.9073764609042364,39.3076168397047
75,0.5805087,0.3373622,0.26586354,0.7056701,0.36094487,0.28040636,0.34655106,0.28003585,0.28457266,0.24346724,0.7927669,0.79441184,0.7991595,0.121078104,0.13416697,4.275497927516208,5.098582208523754,0.9487388398731184,56.70604563645827
76,0.3894173,1.1607964,0.2967806,1.6710637,1.7344856,0.3545308,1.1458678,0.6009749,0.059019923,0.7070495,0.6584674,1.4030232,0.9191712,1.083725,0.2524253,3.3822265928264583,3.583458413125615,0.9290697861252488,43.245008754686175
78,0.5444727,0.512161,0.31276214,0.90992665,0.4550259,0.032614827,0.45359242,0.29387474,0.0,0.22673753,0.80596924,0.96341604,0.9303098,0.42014673,0.24384277,2.64764528400892,2.0508611157961805,0.9250708111693852,48.62082090122192
79,0.34252262,0.0,0.0,0.67928505,0.5124605,0.31692255,0.016468883,0.14189565,0.33717865,0.034309983,0.5169258,0.40262073,0.59042966,0.05542752,0.0,4.276668402499599,4.376972840890883,0.9541989947092804,64.8329261152096
81,0.5150392,0.0,0.23210734,0.53510237,0.3266713,0.048469007,0.3141544,0.12551725,0.09231949,0.18203428,0.8833946,0.3429727,0.6461965,0.45591643,0.009340219,3.098348348348348,2.353096339582826,0.9256010528885532,38.124274310437904
82,0.26962852,0.05261922,0.032168478,0.34208003,0.44633126,0.35571074,0.56760335,0.18105662,0.08681691,0.40158972,0.7010567,0.72932154,0.60894924,0.15698117,0.10915533,3.204838630366012,1.979183399170614,0.8940564626118581,34.05449117223396
84,0.617216,0.0038461685,0.25824696,0.5086248,0.4174654,0.17547339,0.40140617,0.24975586,0.21862882,0.45236483,0.8048185,0.76957995,0.7607297,0.10032812,0.02911143,4.30454387790496,4.45379684228106,0.951381848997054,70.43229676891843
85,0.0,0.49871376,0.0,1.8802526,0.6951839,0.11630523,2.6374075,0.5217775,0.4094478,2.3827188,0.57698005,0.8345315,0.12275323,2.102215,0.60472167,2.102458247325952,2.321542503283918,0.927854945273855,22.326042553094656
86,0.516155,0.23936448,0.1398074,0.46961024,0.43501616,0.09149027,0.4352864,0.06589395,0.12893307,0.33043876,0.8981002,0.75128335,0.7838422,0.23284128,0.05517289,4.124218869074836,4.790123456790123,0.9315517716737416,24.02194598147496
87,0.68013334,0.23562148,0.22362638,0.9919224,0.32276028,0.43437254,0.8963989,0.45705485,0.24546194,0.5009985,0.79661745,0.52438855,0.97440356,0.096159786,0.1702138,3.958802499248221,5.044004143138761,0.9320575560782868,42.42320944706593
88,0.60210323,0.062025964,0.11349568,0.49278495,0.5551301,0.19439954,0.43304026,0.27848804,0.14559072,0.46244833,0.93537986,0.444843,0.75506413,0.2667869,0.017141849,1.811211928169281,1.5948589039444911,0.9127742488291748,30.58394226255528
