Patient,Slice,Feature_194,Feature_129,Feature_655,Feature_414,Feature_1219,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
30.0,255.0,0.3259672,0.28263205,0.4608278,0.35139614,0.020343274,0.1712802768166089,0.4933162276985922,0.9245242214532872,1.428200692041523,13.368056774701463,66.0
31.0,223.0,0.44665855,0.38476813,0.42490652,0.22757053,0.0,0.0911418898122499,0.5922270494861337,1.4003570329332102,1.5659464450600185,19.63355092662695,67.0
31.0,222.0,0.51053476,0.4108956,0.42445156,0.21867326,0.0,0.0987257617728531,0.5501394057399506,1.7438473376423516,1.6888150200061558,19.916865976281542,64.0
31.0,224.0,0.38274682,0.37771934,0.4269729,0.22440156,0.00025754422,0.0949970696361021,0.5951995244883741,1.534818051041611,1.9426181469444292,19.533728584025788,67.0
31.0,220.0,0.51419353,0.42016506,0.41298,0.20440033,0.0,0.1155617023511493,0.4847061353013851,1.628262810525026,1.9782916965739397,19.57291861001838,46.2
31.0,221.0,0.54503095,0.4308265,0.41826323,0.19912085,0.0,0.1051180663844954,0.512416439214118,1.2492203163288036,2.355201603920696,19.979519439899192,59.0
33.0,194.0,0.0,0.07474509,0.49670422,0.34504572,0.0,0.2321580117361878,0.531748377977911,4.9046620119603,4.369421314644199,34.50103151579309,27.0
33.0,198.0,0.0,0.093465984,0.4572461,0.38631713,0.0,0.186185998029175,0.500883702809127,4.548681085206851,4.296364226679047,33.86961885053229,30.0
33.0,197.0,0.0,0.10274093,0.46450132,0.34629682,0.0,0.1920238545257587,0.4967620813487537,4.021524365129964,4.2934027679825775,34.12812633292519,33.0
33.0,196.0,0.0,0.08796063,0.4795877,0.3503144,0.0,0.1872492217040719,0.5026462594119881,3.814016891983517,4.312971313318174,34.43571385202352,29.0
33.0,195.0,0.0,0.079224944,0.4878076,0.34740737,0.0,0.2159765139824607,0.5264603628407326,4.948555082991456,4.434542511950016,34.526227293325896,29.0
35.0,204.0,0.094389684,0.1685731,0.5007902,0.24797815,0.0,0.142720126769667,0.4642301945291119,3.0316298659327368,2.3328120764788056,18.957616484166767,42.0
35.0,203.0,0.11291293,0.18173961,0.51813275,0.25155455,0.0,0.1760409057706355,0.5394455674588633,3.592403214024835,2.7367096826556283,20.42504868883509,44.2
35.0,202.0,0.11009199,0.1799547,0.5354367,0.24800971,0.0,0.1942940441482715,0.5484109493209325,3.284568929612661,2.821740941274469,21.40695336473909,32.0
35.0,205.0,0.099359125,0.1724367,0.48367915,0.24779934,0.0,0.1435834146880583,0.454719346077263,2.703199543185544,1.9299305568347176,19.251145802228308,36.400000000000006
35.0,206.0,0.10273232,0.16066228,0.47917688,0.25055316,0.0,0.1413769160925065,0.5023504874786835,2.5765101746514985,2.125015577987858,20.138015083637995,35.6
36.0,233.0,0.24009375,0.3946923,0.33157212,0.35613185,0.0,0.1232157869938378,0.4665476366727629,2.297188680814109,2.6669376668729963,20.684065050418152,58.8
36.0,231.0,0.18949006,0.25877273,0.3686814,0.34505394,0.0,0.1999874320545449,0.4465084411025963,4.303453043013794,4.077313811124727,21.154601816377788,47.0
36.0,230.0,0.13484892,0.21238266,0.41329566,0.33300018,0.0,0.1659956499606645,0.4152182287795715,3.7006339950946368,3.4235272340228606,21.558532755672008,53.0
36.0,232.0,0.25278378,0.33322066,0.3368189,0.36214516,0.0,0.1538811666258184,0.5101802573822604,3.5754700465669966,3.17737474178075,21.034951350700258,59.0
36.0,229.0,0.09952526,0.17118765,0.41288003,0.3356087,0.0,0.1301692828562634,0.4223342069640797,2.504598337950138,1.802720837180671,22.158643763630327,64.0
38.0,217.0,0.0,0.1550035,0.55850625,0.28502023,0.039837293,0.3997441720834312,0.4703780534362209,4.203983606129428,3.579293601691597,27.06381704815285,22.0
38.0,221.0,0.010234937,0.23829238,0.5980954,0.2531258,0.03908848,0.3228616078809957,0.5076554320921605,3.707961533743313,3.764402178261125,26.64991615040206,29.200000000000003
38.0,220.0,0.004453512,0.21513845,0.5935581,0.25474858,0.04215899,0.3088431724315231,0.5551739847132573,4.183301756562659,3.768232092058861,26.931353910789525,29.200000000000003
38.0,219.0,0.0015878361,0.18079643,0.57918036,0.25294438,0.03774108,0.3110374999999999,0.4953132249767744,3.9154,3.688975,26.731210499858125,28.0
38.0,218.0,0.0,0.17157753,0.5719715,0.26150873,0.04185056,0.376414667270258,0.4704527136072768,3.881479176097782,3.4817507922136715,26.854600222084688,24.0
