Paziente,243,451,509,593,629,1049,1116,1309,1614,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
123,4.976276,1.8131309,0.40141937,0.28255302,6.1926885,2.9388266,3.232933,1.3395901,0.0,3.5636212145489505,3.999897452331357,0.9290065926197156,78.22935376835613
124,2.0863972,4.2821608,0.0,0.5177688,4.3766108,3.0705638,1.7092932,3.4713242,1.3166032,3.1214002306210187,3.404533581883356,0.9300354432680874,59.639695336411165
126,10.636726,5.4422016,3.932791,16.60338,3.379949,3.0981102,4.037908,5.921827,2.8169563,1.9604650327462552,2.073322876881264,0.919773387917155,21.51696668026769
127,14.415411,2.4458327,0.5701798,6.27293,3.0819948,1.2177075,1.7897798,0.7483524,1.6399257,1.391347493140285,1.3389566059504667,0.9014557392185506,28.63437622276442
128,12.448868,3.8097432,2.3460116,10.642912,2.1354334,4.268595,2.0580978,5.993516,2.298518,4.266169314636336,3.754832565314656,0.9374326464364962,37.003685628790805
129,11.375245,6.196728,4.064895,16.156656,3.084379,4.588471,2.4679828,2.5874975,2.325525,1.8175818925617369,1.9427274627489624,0.9139183834912218,29.617811285720663
133,6.9636216,2.3868916,1.7526104,8.8458,2.189256,3.1306844,1.4003028,0.9133704,1.8741057,4.565602216066482,4.6104199445983385,0.9409660228042704,37.95170095688415
135,2.9607904,5.6940837,2.8660526,1.0941069,5.651518,2.9975364,3.7354865,4.061679,4.0938916,2.579723865877712,1.949664694280079,0.9268286779157158,21.0907276564162
136,4.643901,7.25034,2.6690567,0.38207644,1.1739793,2.6814547,0.98872125,2.1982825,0.41032106,3.8250729125815335,4.2469426300819055,0.9479265735267066,65.13943507962802
137,6.0744977,5.394505,3.6006486,0.9411531,3.3763428,5.173926,2.5155673,2.231022,3.9563313,4.165472910927456,4.315555555555555,0.9453177754080958,35.99663510307286
138,4.0244484,5.645556,1.8567963,1.5113461,0.81473106,4.380123,1.1582685,1.5061376,0.65694153,2.684969957458006,3.7343098986886543,0.926599583268038,21.62294729603781
139,2.4864376,8.887328,2.7732553,0.0,0.22922319,5.3198013,1.4615983,1.1558596,0.40295786,4.718745866616059,4.343057927758513,0.9299717304479808,64.84038283911242
141,3.5299401,6.15481,3.1222696,5.5135055,4.3529005,3.7418587,4.801582,4.906577,6.884098,2.553593863651392,2.268465251603518,0.9256878797912846,24.67779597410008
142,2.9753122,3.7567694,2.7540164,2.7993667,2.8962047,4.919984,6.408833,5.2594132,6.395725,2.2230859375,3.4262109375,0.9233714422280748,30.391766476036505
144,2.1472332,3.9545386,0.95047545,0.8395427,0.5623635,3.0049067,1.8465298,1.8502448,1.324475,3.8149092970521536,4.303004535147393,0.932616837245578,36.86158984301891
146,6.690855,4.5030746,4.7101097,1.8295012,2.6812468,4.7348537,5.7490473,11.825066,7.661251,5.063604293781889,3.835061848021923,0.9283822386074816,19.17548763453549
147,7.165436,8.748734,6.180887,4.748115,2.363895,5.674263,2.320506,1.8171859,4.7146378,2.3159471108189056,2.5700197238658777,0.9247408098639522,29.44282812261181
149,1.8106058,4.909512,1.8134904,0.11346087,5.1109543,3.655774,1.0832583,1.765796,0.51944566,3.657541246636483,3.891617025382271,0.9251747260465748,92.842387323095
150,16.999847,6.5841913,10.078974,21.608318,4.3008604,5.030076,4.620291,5.0770845,4.743498,3.9414786427331694,4.909527193094853,0.9439781013400736,48.61884060342205
153,10.165992,4.2896867,3.4272428,19.401821,3.1555097,2.1432567,0.7568147,0.85865664,1.3944068,2.6764662955317866,2.222472425512396,0.9417176739534128,32.29199254513264
155,9.501537,3.6400306,4.3025713,3.8184772,1.9092395,1.9411073,4.0231028,5.3200526,4.5518575,3.6737463849629313,4.267551724265948,0.9459062591711448,44.87152779511974
158,8.511504,4.6517153,1.6927255,1.1557143,1.2440422,3.0443587,2.8050327,4.425391,5.04673,2.368851464485913,2.494891892547745,0.9221160792920744,23.286490009237816
159,1.5904514,2.0262554,2.1709063,0.31712592,1.5759697,1.1182255,2.6089168,2.4856029,0.4587509,4.956499606645379,3.9980100883890977,0.9436895358157616,41.21119693268243
161,8.010902,3.6111705,3.737561,1.0157983,1.2401893,4.7542267,1.562094,4.13793,4.2022986,3.416457142857144,3.9286204081632654,0.960774945315485,44.185592067290585
163,16.444471,9.333542,2.5365126,29.030489,3.5507936,5.205771,2.983477,3.6073608,2.4824343,1.5259108724052837,2.5058628086643764,0.9310741093945468,14.741283749980308
166,4.30023,6.286339,4.9231772,1.3805351,2.3404772,4.385958,4.940204,1.8048952,3.6694295,1.8269452581939185,2.554889812083414,0.9250690504201492,40.11070193767479
