Paziente,31,167,618,781,808,1065,1135,1195,1200,1518,1935,438,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
81,0.83416295,1.5523973,0.64610183,1.9440339,0.0,0.7515068,0.27251655,2.7689378,1.926493,0.32488346,0.22169779,0.7965487,0.7784822141944026,0.8977946796002353,0.6986449892025819,0.5992560556637433
82,1.1358753,1.7729131,0.549568,1.39823,0.3349192,0.6090676,0.17207815,2.409059,2.195881,0.9063449,1.0688515,0.53491527,0.6304596223204282,0.7905100714749836,0.3227403257025066,0.3495846142492376
84,0.6334001,1.1328632,0.69812965,1.8995597,0.0,0.54829025,0.17391105,3.1381335,2.2851353,0.8151201,0.8822616,0.7449435,0.6151335553136413,0.7397541836242472,0.576536275363052,0.5475011731047427
85,0.4015757,0.76287633,0.6954717,3.0657947,0.0,0.9544644,0.097324505,0.16900153,0.65896076,0.73189974,1.8493204,1.8695085,0.7188680865066334,0.8514721844293273,0.6725608257861811,0.6967577438132827
86,0.7039995,1.2359668,0.4460361,1.9821887,0.0,0.8824546,0.016306087,2.7200446,2.2878165,0.4398221,0.65586406,0.58904785,0.6208470998859215,0.7244590502867814,0.3736386720075924,0.3138769960035162
87,0.67170525,0.6744106,0.45722347,1.2745448,0.0,0.68709105,0.36999214,3.4191916,1.5995901,0.62754846,0.28455347,0.47529364,0.7051289892610745,0.7703296557911226,0.4330012362657294,0.5548615304844917
88,0.7946738,1.1914045,1.0789833,1.6438347,0.026395276,0.85790807,0.3280669,3.193534,2.2625403,1.1990207,1.6217794,0.20618846,0.8422497046300491,0.9128942864665616,0.7707841240111931,0.7118234103774872
89,1.2843896,1.2500818,0.80874676,0.9539778,0.0,0.9346693,0.6050311,2.8217049,0.53383565,1.1076019,0.26787853,0.28174847,0.767971135513676,0.8546362649294246,0.5324246995862538,0.6378243584561712
90,0.97964,1.4013668,0.45285314,0.9972768,0.0,0.79538506,0.3181221,3.8194249,1.5873499,1.0244122,1.0716666,0.4881658,0.706154736148328,0.8159091035240583,0.5460865357747106,0.5204250569687467
91,0.54433906,1.1351788,0.71621215,1.7648228,0.0,0.64837587,0.05124867,2.6316655,2.4288116,0.44283494,0.6559311,0.86184305,0.8300003452053717,0.8965284653465346,0.5819569877641975,0.7324326926638299
92,0.76770973,1.2227502,0.73678654,1.9170282,0.0,0.632563,0.38607907,3.1484287,1.9946657,0.33128923,1.1743432,0.0,0.7800510110934097,0.86840091706104,0.6148656793529638,0.6155624020067704
94,1.175073,1.37248,0.7031994,1.7868801,0.3660891,0.6024624,0.46897262,2.1115823,2.1527872,0.6165333,1.1606479,0.64010054,0.7063016939692216,0.8050384894168511,0.4810053470110604,0.5259319201125593
95,1.4630562,1.6097704,1.7214243,1.0305034,0.0,0.7426623,0.45553195,2.8700485,1.3043774,0.3108447,0.44106168,0.7352715,0.7068339931550885,0.7704032684452868,0.5203346388069301,0.4593901042285793
96,1.1150049,1.1387169,1.8354727,1.6425396,0.25867945,0.60148543,0.56307375,2.1155856,1.8034002,0.34041375,1.0050943,0.7018589,0.6473753805651484,0.7354716783343372,0.4828717504970568,0.5550493763780542
98,0.85733736,0.9714446,0.5651643,1.870724,0.829172,0.8405032,0.21810348,2.2049057,2.471455,0.72349274,1.5095179,0.33781755,0.6649692826073684,0.7383752600250121,0.3431109465597028,0.3780416285930453
