Paziente,20,167,266,279,642,815,978,1006,1185,1380,1417,626,679,889,1311,original_glszm_SmallAreaEmphasis,wavelet-LL_glszm_SmallAreaEmphasis,wavelet-LH_glszm_SmallAreaEmphasis,wavelet-HL_glszm_SmallAreaEmphasis
90,0.75400305,0.16393247,0.17044833,0.63169384,0.3489089,0.25335115,0.37989497,0.3936063,0.16551524,0.325276,0.8396959,0.5651849,0.7262174,0.13619515,0.03860426,0.706154736148328,0.8159091035240583,0.5460865357747106,0.5204250569687467
91,0.47308457,0.13724005,0.10363218,0.42520615,0.3892939,0.367841,0.27754235,0.5062059,0.24873972,0.108446926,0.7013378,0.43590653,0.70723206,0.0,0.0,0.8300003452053717,0.8965284653465346,0.5819569877641975,0.7324326926638299
92,0.53162134,0.6461265,0.16455185,0.5524558,0.2669809,0.27844805,0.35195756,0.19573247,0.15093613,0.115395874,0.5005149,0.78520113,0.72336805,0.06645349,0.12276548,0.7800510110934097,0.86840091706104,0.6148656793529638,0.6155624020067704
94,0.2872057,0.31924048,0.16665402,0.3246369,0.5763056,0.27508992,0.56037176,0.244537,0.087424636,0.45289657,0.6882449,0.31665397,0.7427741,0.16935554,0.26940042,0.7063016939692216,0.8050384894168511,0.4810053470110604,0.5259319201125593
95,0.5326376,0.23254922,0.02967161,0.5804136,0.42958122,0.22698689,0.39266837,0.34447992,0.4585325,0.6062416,0.71034616,0.6711635,1.0047274,0.17202413,0.27203852,0.7068339931550885,0.7704032684452868,0.5203346388069301,0.4593901042285793
96,0.22402275,0.41797444,0.17907703,0.50146043,0.34269983,0.23103434,0.5582298,0.21139848,0.2869426,0.4483917,0.6142861,0.84849554,0.7993879,0.23701575,0.17940347,0.6473753805651484,0.7354716783343372,0.4828717504970568,0.5550493763780542
98,0.6225426,0.21579799,0.21530241,0.6357937,0.43380094,0.1701194,0.8159312,0.46737397,0.08463895,0.4158791,0.8064357,0.7695357,0.69500107,0.29959646,0.056980073,0.6649692826073684,0.7383752600250121,0.3431109465597028,0.3780416285930453
100,0.2453413,0.0018074214,0.0,0.31338605,0.28673643,0.37182808,0.0,0.0,0.26664048,0.180217,0.4111903,0.23847413,0.65591806,0.20834377,0.0,0.8439434060228452,0.912285272887781,0.7764863613885269,0.7167883486728025
101,0.25325978,0.0,0.060793072,0.7061156,0.7785611,0.07530218,0.7672609,0.34406722,0.1311233,0.5756444,0.86782694,0.40525103,0.897281,0.15588447,0.14069,0.7643828540556782,0.8415976148992389,0.6762989686571312,0.6748484808994527
102,0.801739,0.023217708,0.0,0.6489397,0.55141747,0.33511025,0.43188488,0.24648559,0.06803703,0.45686635,0.86273026,0.77763003,0.89669275,0.15193641,0.15812682,0.8144546737857895,0.8870024289366184,0.6536466602743175,0.631077389152224
103,0.031661093,0.15940139,0.002610743,0.44400224,0.46891552,0.014762759,0.6908473,0.05729395,0.05496168,0.34178522,0.4852851,0.27894247,0.6709646,0.1368236,0.0543036,0.7034165778218929,0.7954807098765432,0.4679450045598828,0.4411551159741513
104,0.43545175,0.0,0.0,0.9178798,0.6231396,0.2762004,0.0,0.022021532,0.23777199,0.0,0.46383467,0.42310482,0.8263794,0.10174528,0.0,0.7808765024682286,0.8844560695056289,0.5955350215115447,0.6226681671791003
105,0.14298952,0.039085954,0.17101198,0.4559686,0.69039106,0.34819323,0.4562589,0.02449882,0.12672698,0.26906374,0.9505919,0.41607487,0.80994207,0.6415603,0.007419497,0.8302199713513897,0.8912743990176357,0.7722035282511894,0.6850841242480766
106,0.43215406,0.56463957,0.41241682,0.63055086,0.43763447,0.1888929,0.73258686,0.22831917,0.21094626,0.20836446,0.73544747,0.49817777,0.6715734,0.25324067,0.15090467,0.5475743927535321,0.7702745082529135,0.1546130814474683,0.1455967447004125
